,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness
0.719726,0.83912,0.721105,0.840985,0.73734,0.85429,0.713599,0.88802,0.731703,0.853728,0.737029,0.85204,0.732241,0.882314,0.737985,0.859369,0.739211,0.872347,0.721535,0.843725
0.780981,0.88104,0.752167,0.842157,0.78268,0.867304,0.771135,0.88802,0.768396,0.853728,0.782569,0.859009,0.78317,0.882314,0.79313,0.859369,0.775467,0.872347,0.771167,0.849299
0.791527,0.88104,0.793939,0.847584,0.798037,0.867304,0.796136,0.88802,0.798869,0.853728,0.795376,0.861849,0.807602,0.900871,0.811058,0.859369,0.802759,0.872347,0.789182,0.853707
0.799953,0.88104,0.823018,0.854161,0.806909,0.867304,0.819152,0.891834,0.802338,0.860869,0.815623,0.861849,0.817763,0.900871,0.817423,0.859369,0.822016,0.872347,0.804231,0.856578
0.8208,0.930351,0.834257,0.857185,0.819736,0.867304,0.816694,0.891834,0.808005,0.860869,0.828636,0.862584,0.835334,0.901361,0.826467,0.859369,0.836753,0.872347,0.811389,0.856578
0.837147,0.930351,0.833852,0.867518,0.825871,0.867304,0.831371,0.923209,0.826118,0.864232,0.835519,0.864244,0.84097,0.91409,0.827952,0.859369,0.841582,0.872347,0.817156,0.856578
0.839801,0.930351,0.838302,0.877584,0.826185,0.867304,0.839767,0.923209,0.834942,0.875086,0.838844,0.864244,0.851047,0.919848,0.831334,0.859369,0.843318,0.873345,0.820273,0.856578
0.848433,0.930351,0.837753,0.877584,0.835252,0.876276,0.847764,0.923209,0.843086,0.875086,0.840356,0.865468,0.858958,0.919848,0.84092,0.862093,0.848012,0.895455,0.819178,0.856578
0.845344,0.930351,0.838279,0.877584,0.836738,0.876276,0.861147,0.92687,0.842355,0.875086,0.834756,0.865468,0.865678,0.919848,0.84381,0.863947,0.849219,0.895455,0.824113,0.856578
0.844287,0.930351,0.844737,0.888232,0.841991,0.876276,0.859231,0.92687,0.84438,0.875086,0.837174,0.881375,0.868842,0.929371,0.84628,0.863947,0.850541,0.897633,0.821398,0.857994
0.851101,0.930351,0.852194,0.888232,0.847628,0.876276,0.86069,0.92687,0.849776,0.877143,0.840885,0.881375,0.877654,0.935612,0.843594,0.864232,0.848943,0.897633,0.821601,0.857994
0.852224,0.930351,0.85231,0.888232,0.850385,0.876276,0.860642,0.931003,0.853395,0.877143,0.841357,0.881375,0.885829,0.944548,0.847701,0.864232,0.852802,0.897633,0.830934,0.858633
0.862172,0.930351,0.85237,0.888232,0.848426,0.876276,0.877208,0.934161,0.84278,0.877143,0.844945,0.88302,0.887764,0.950374,0.842652,0.864232,0.854616,0.897633,0.825059,0.867307
0.860266,0.930351,0.860852,0.888232,0.847864,0.876276,0.89322,0.934161,0.858503,0.87904,0.837447,0.901955,0.887156,0.950374,0.8399,0.864232,0.848873,0.897633,0.832657,0.867307
0.863358,0.930351,0.852525,0.888232,0.84993,0.876276,0.905394,0.94728,0.854722,0.881678,0.847532,0.901955,0.903048,0.950374,0.841523,0.8655,0.848966,0.923707,0.841076,0.870289
0.85901,0.930351,0.859281,0.888232,0.855015,0.876276,0.908657,0.94728,0.859726,0.881678,0.845477,0.90492,0.91047,0.950374,0.84316,0.867773,0.853466,0.923707,0.842724,0.870289
0.858381,0.930351,0.861856,0.888232,0.844444,0.876276,0.916885,0.950374,0.861781,0.885918,0.854686,0.920136,0.906993,0.951501,0.844057,0.867773,0.854128,0.923707,0.840328,0.870289
0.8589,0.930351,0.861883,0.888232,0.853851,0.878551,0.914299,0.951421,0.864533,0.885918,0.862511,0.938326,0.903344,0.951501,0.84462,0.874184,0.852952,0.923707,0.849971,0.871659
0.858632,0.930351,0.859024,0.888232,0.850793,0.887279,0.914336,0.951421,0.865044,0.885918,0.852679,0.938326,0.909938,0.951501,0.847391,0.875086,0.854785,0.923707,0.844643,0.871659
0.859029,0.930351,0.867012,0.888232,0.854965,0.887279,0.922206,0.954059,0.854206,0.885918,0.866404,0.938326,0.913567,0.951501,0.846292,0.875086,0.852799,0.923707,0.849858,0.87683
0.859919,0.930351,0.869907,0.888232,0.857556,0.887279,0.927587,0.958299,0.844185,0.885918,0.873551,0.938326,0.918438,0.951501,0.852341,0.875086,0.859541,0.923707,0.855733,0.87683
0.861414,0.930351,0.868177,0.888232,0.86215,0.887279,0.917948,0.958299,0.851125,0.885918,0.876335,0.938326,0.920432,0.951501,0.848411,0.875086,0.849859,0.923707,0.857316,0.880487
0.860848,0.930351,0.869024,0.888232,0.859889,0.887279,0.918389,0.958299,0.860224,0.885918,0.889281,0.939516,0.918979,0.951501,0.857361,0.878106,0.856334,0.923707,0.848656,0.880487
0.860535,0.930351,0.866474,0.888232,0.852971,0.887279,0.920122,0.958299,0.854903,0.885918,0.897625,0.951421,0.915724,0.958299,0.859461,0.878106,0.859152,0.923707,0.862122,0.880487
0.857712,0.930351,0.868148,0.888232,0.859394,0.887279,0.925099,0.958299,0.85884,0.885918,0.908174,0.951421,0.918593,0.958299,0.848548,0.878106,0.85525,0.923707,0.852771,0.880487
0.864525,0.930351,0.864809,0.888232,0.860922,0.887279,0.925103,0.958299,0.853435,0.885918,0.909825,0.951421,0.930313,0.958299,0.859148,0.878106,0.860566,0.923707,0.858026,0.880487
0.864489,0.930351,0.864762,0.888232,0.860922,0.887279,0.923909,0.958299,0.85248,0.885918,0.913475,0.951421,0.9268,0.958299,0.86211,0.885918,0.856609,0.923707,0.858212,0.880487
0.860242,0.930351,0.863174,0.888232,0.857059,0.887279,0.920209,0.958299,0.857441,0.885918,0.907301,0.954059,0.931613,0.958299,0.857435,0.885918,0.858737,0.923707,0.860773,0.880487
0.859475,0.930351,0.868803,0.888232,0.856671,0.887279,0.92132,0.958299,0.853816,0.885918,0.910723,0.954059,0.93527,0.958299,0.863599,0.885918,0.86355,0.923707,0.856404,0.880487
